name CO CI C2 NULL
cvf1 0.000000 4.013600 0.000000 FALSE 
cfv2 0.216000 1.936700 0.000000 FALSE 
fcn1 -0.000820 0.400290 0.000000 FALSE 
fcn2 0.000000 2.000000 0.000000 TRUE 
fh -0.009213 0.998080 0.000000 FALSE 
fx0 -0.006000 0.426270 0.000000 FALSE 
fx1 0.000000 2.000000 0.000000 TRUE 
fx2 0.000000 2.000000 0.000000 TRUE 
cvpcn 80.572000 303.000000 0.000000 FALSE 
cvqc 0.000000 1.000000 0.000000 TRUE 
cvtt -51.670000 40.370000 0.000000 FALSE 
cvtp -51.860000 40.129000 0.000000 FALSE 
cnht 0.000000 0.200000 0.000000 TRUE 
cnt1 -50.000000 40.000000 0.000000 FALSE 
cnt2 83.860000 302.820000 0.000000 TRUE 
rhola 8.285000 2.904274 0.176676 FALSE 
